event_type,product_id,category_id,category_code,brand,user_id
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1
view,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1
cart,1023383,2144415922016747613,computers.peripherals.wifi,zyxel,1
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1
purchase,1023383,2144415922016747613,computers.peripherals.wifi,zyxel,1
cart,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1
view,1023383,2144415922016747613,computers.peripherals.wifi,zyxel,1
cart,1428321,2144415941352489571,electronics.tablet,samsung,2
cart,1428321,2144415941352489571,electronics.tablet,samsung,2
purchase,1428321,2144415941352489571,electronics.tablet,samsung,2
view,1428321,2144415941352489571,electronics.tablet,samsung,2
view,1428321,2144415941352489571,electronics.tablet,samsung,2
view,1428321,2144415941352489571,electronics.tablet,samsung,2
purchase,1428321,2144415941352489571,electronics.tablet,samsung,2
purchase,1428321,2144415941352489571,electronics.tablet,samsung,2
view,1428321,2144415941352489571,electronics.tablet,samsung,2
view,1428321,2144415941352489571,electronics.tablet,samsung,2
cart,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
purchase,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
view,1154498,2144415922016747613,computers.peripherals.wifi,keenetic,3
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
purchase,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
cart,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,3
view,780598,2144415925430911157,appliances.kitchen.coffee_machine,galaxy,4
view,1675306,2144415925430911157,appliances.kitchen.coffee_machine,kitfort,4
view,780596,2144415925430911157,appliances.kitchen.coffee_machine,delta,4
view,597470,2144415925430911157,appliances.kitchen.coffee_machine,philips,4
cart,3760935,2144415925430911157,appliances.kitchen.coffee_machine,sinbo,4
cart,1328624,2144415925430911157,appliances.kitchen.coffee_machine,philips,4
view,478763,2144415925430911157,appliances.kitchen.coffee_machine,philips,4
view,1328624,2144415925430911157,appliances.kitchen.coffee_machine,philips,4
view,1621966,2144415925430911157,appliances.kitchen.coffee_machine,melitta,4
view,780598,2144415925430911157,appliances.kitchen.coffee_machine,galaxy,4
view,32402,2144415925430911157,appliances.kitchen.coffee_machine,scarlett,4
view,1675306,2144415925430911157,appliances.kitchen.coffee_machine,kitfort,4
view,3760935,2144415925430911157,appliances.kitchen.coffee_machine,sinbo,4
